UserINode,UserJNode,INode,JNode,I_Z,J_Z,Max Drift X,Max Drift Y,Series,LoadCase
5,6,22,92,-5,0,0.0337063,0.0368775,Level6,gm10RSN1119_KOBE_TAZ000
5,6,22,92,-5,0,0.0151718,0.0184077,Level6,gm11RSN1528_CHICHI_TCU101-E
5,6,22,92,-5,0,0.0228476,0.0196179,Level6,gm1RSN6_IMPVALL.I_I-ELC180
5,6,22,92,-5,0,0.0184797,0.0161768,Level6,gm2RSN4458_MONTENE.GRO_ULO000
5,6,22,92,-5,0,0.0185633,0.0248657,Level6,gm3RSN165_IMPVALL.H_H-CHI012
5,6,22,92,-5,0,0.0310095,0.0223733,Level6,gm4RSN723_SUPER.B_B-PTS225
5,6,22,92,-5,0,0.0355268,0.0262095,Level6,gm5RSN779_LOMAP_LGP000
5,6,22,92,-5,0,0.027212,0.0432666,Level6,gm6RSN828_CAPEMEND_PET000
5,6,22,92,-5,0,0.0436944,0.0358398,Level6,gm7RSN1086_NORTHR_SYL090
5,6,22,92,-5,0,0.0253006,0.0176132,Level6,gm8RSN949_NORTHR_ARL090
5,6,22,92,-5,0,0.166636,0.0576261,Level6,gm9RSN1120_KOBE_TAK000
5,6,22,92,-5,0,0.038739,0.0408643,Level7,gm10RSN1119_KOBE_TAZ000
5,6,22,92,-5,0,0.01811,0.0224843,Level7,gm11RSN1528_CHICHI_TCU101-E
5,6,22,92,-5,0,0.0240414,0.0232322,Level7,gm1RSN6_IMPVALL.I_I-ELC180
5,6,22,92,-5,0,0.0218541,0.019074,Level7,gm2RSN4458_MONTENE.GRO_ULO000
5,6,22,92,-5,0,0.0209622,0.0260667,Level7,gm3RSN165_IMPVALL.H_H-CHI012
5,6,22,92,-5,0,0.0367235,0.0256124,Level7,gm4RSN723_SUPER.B_B-PTS225
5,6,22,92,-5,0,0.0361825,0.0293238,Level7,gm5RSN779_LOMAP_LGP000
5,6,22,92,-5,0,0.0308655,0.0428839,Level7,gm6RSN828_CAPEMEND_PET000
5,6,22,92,-5,0,0.0501007,0.0440402,Level7,gm7RSN1086_NORTHR_SYL090
5,6,22,92,-5,0,0.030035,0.0207869,Level7,gm8RSN949_NORTHR_ARL090
5,6,22,92,-5,0,0.172178,0.197724,Level7,gm9RSN1120_KOBE_TAK000
5,6,22,92,-5,0,0.04175,0.0437592,Level8,gm10RSN1119_KOBE_TAZ000
5,6,22,92,-5,0,0.0210672,0.0272913,Level8,gm11RSN1528_CHICHI_TCU101-E
5,6,22,92,-5,0,0.0256204,0.0266263,Level8,gm1RSN6_IMPVALL.I_I-ELC180
5,6,22,92,-5,0,0.0247632,0.0211759,Level8,gm2RSN4458_MONTENE.GRO_ULO000
5,6,22,92,-5,0,0.0218205,0.0266688,Level8,gm3RSN165_IMPVALL.H_H-CHI012
5,6,22,92,-5,0,0.040675,0.027983,Level8,gm4RSN723_SUPER.B_B-PTS225
5,6,22,92,-5,0,0.0361982,0.0324421,Level8,gm5RSN779_LOMAP_LGP000
5,6,22,92,-5,0,0.0315779,0.0409899,Level8,gm6RSN828_CAPEMEND_PET000
5,6,22,92,-5,0,0.0553551,0.0532435,Level8,gm7RSN1086_NORTHR_SYL090
5,6,22,92,-5,0,0.0350553,0.0237439,Level8,gm8RSN949_NORTHR_ARL090
5,6,22,92,-5,0,0.248588,0.247182,Level8,gm9RSN1120_KOBE_TAK000
7,8,84,86,-5,0,0.00506337,0.00462074,Level1,gm10RSN1119_KOBE_TAZ000
7,8,84,86,-5,0,0.00132222,0.00171907,Level1,gm11RSN1528_CHICHI_TCU101-E
7,8,84,86,-5,0,0.00254042,0.0020009,Level1,gm1RSN6_IMPVALL.I_I-ELC180
7,8,84,86,-5,0,0.00158483,0.00159108,Level1,gm2RSN4458_MONTENE.GRO_ULO000
7,8,84,86,-5,0,0.00165718,0.00272889,Level1,gm3RSN165_IMPVALL.H_H-CHI012
7,8,84,86,-5,0,0.00421059,0.00224746,Level1,gm4RSN723_SUPER.B_B-PTS225
7,8,84,86,-5,0,0.00398446,0.00302405,Level1,gm5RSN779_LOMAP_LGP000
7,8,84,86,-5,0,0.00332668,0.00554864,Level1,gm6RSN828_CAPEMEND_PET000
